Data file,Companies,Tagged,BioTech,Health,Cybersecurity,Dev Tools / Cloud,Consumer,Future of Work,Transportation / Mobility,FinTech / Insurance,RegTech/Gov/Legal,Deeptech / Robotics / AR/VR,Data & Analytics,Logistics / Supply Chain,Web3 / Crypto,PropTech,Gaming / Media / Entertainment,CPG,Climate / Sustainability
2048_companies.json,75,72,20,13,3,8,11,8,3,6,0,8,2,4,0,2,7,3,2
8vc_companies.json,172,153,28,42,12,40,24,24,16,29,17,13,24,26,0,6,4,3,7
a16z_companies.json,849,790,113,121,81,282,242,93,30,163,24,94,47,33,143,20,130,8,10
accel_companies.json,771,690,7,55,91,235,281,64,37,136,9,53,50,26,19,14,73,6,10
afore_companies.json,100,87,1,11,4,16,18,16,3,17,5,5,5,6,1,7,11,2,2
arch_companies.json,128,127,114,27,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0
atlas_companies.json,79,79,79,79,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
baincapital_companies.json,269,263,6,33,37,67,61,33,12,51,15,21,19,11,3,6,14,3,4
battery_companies.json,343,321,7,27,43,133,76,81,16,54,9,35,36,19,1,12,31,3,21
bedrock_companies.json,6,5,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
bessemer_companies.json,516,436,20,72,65,132,62,48,17,83,15,38,28,19,5,18,36,14,4
coatue_companies.json,372,43,5,5,2,12,1,0,0,7,1,6,3,0,0,0,2,0,2
crv_companies.json,183,112,9,12,22,30,6,8,11,11,1,7,14,6,1,1,7,0,2
dragoneer_companies.json,29,14,0,1,0,4,1,0,3,1,0,0,1,1,0,1,2,0,0
firstround_companies.json,190,155,6,35,7,18,39,9,3,33,4,18,5,5,1,5,7,4,6
foundersfund_companies.json,62,58,6,6,3,13,13,8,7,12,4,18,1,4,1,2,1,0,2
generalatlantic_companies.json,405,349,35,65,18,51,109,16,6,84,2,6,12,7,3,17,26,23,13
generalcatalyst_companies.json,584,395,8,144,10,11,110,8,3,74,24,19,5,2,0,2,5,4,19
greylock_companies.json,159,143,3,10,32,62,44,48,5,31,3,3,19,10,26,4,19,2,1
hustlefund_companies.json,335,328,0,39,3,29,50,42,11,74,2,6,11,7,17,21,35,13,1
iconiq_companies.json,100,94,2,11,8,27,26,23,2,25,2,3,8,4,2,1,6,0,2
index_companies.json,311,258,1,16,31,54,54,41,15,68,14,8,13,5,6,3,38,6,4
inflection_companies.json,16,16,0,1,2,10,0,1,3,1,1,10,2,0,1,0,3,0,3
insight_companies.json,847,820,42,101,168,296,240,222,50,211,82,51,145,113,8,42,154,14,48
ivp_companies.json,156,149,3,24,25,47,55,46,10,35,9,4,13,7,6,5,29,5,4
khosla_companies.json,132,117,25,32,6,13,16,5,2,14,1,11,3,3,0,2,2,9,21
kleinerperkins_companies.json,385,330,26,71,29,72,89,31,7,32,5,72,13,7,3,8,30,1,12
lererhippeau_companies.json,305,304,7,33,8,13,94,49,11,27,1,25,22,17,4,24,90,36,13
lux_companies.json,215,210,53,76,27,69,42,17,13,21,10,49,24,10,3,7,20,2,33
mayfield_companies.json,135,128,6,12,10,55,12,25,2,5,1,23,7,1,1,1,3,0,2
menlo_companies.json,239,239,21,27,33,68,36,33,13,31,8,17,24,15,1,10,21,3,4
meritech_companies.json,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nea_companies.json,903,773,236,304,30,178,80,27,13,57,11,54,92,13,2,6,64,3,11
norwest_companies.json,514,449,26,79,44,177,136,14,9,55,0,22,43,8,2,13,36,11,1
notable_companies.json,127,120,0,4,23,30,49,18,2,28,5,1,9,8,2,2,7,5,1
oakhcft_companies.json,107,107,9,64,6,7,5,3,2,48,1,1,6,4,2,2,0,0,1
orbimed_companies.json,200,200,159,200,1,11,6,2,2,1,0,34,29,1,0,0,0,2,0
paradigm_companies.json,105,105,0,0,3,50,32,1,1,50,0,7,1,2,83,0,9,0,1
parkway_companies.json,25,19,0,3,0,0,1,0,3,3,0,8,0,0,0,3,0,0,0
ribbit_companies.json,148,18,0,0,0,1,0,0,0,13,0,1,0,0,2,0,0,0,1
rre_companies.json,250,244,3,25,23,37,84,19,10,75,3,36,22,10,26,4,40,4,7
sequoia_companies.json,412,391,12,36,55,144,132,69,28,71,20,66,57,24,24,7,50,5,16
spark_companies.json,48,44,2,3,1,12,3,3,4,6,3,10,4,0,2,0,4,0,3
svangel_companies.json,150,70,1,15,1,3,29,0,0,21,0,1,0,0,11,1,0,0,0
tcv_companies.json,151,144,1,14,18,49,66,38,9,48,11,9,22,11,2,8,19,3,3
usv_companies.json,214,214,0,15,2,29,74,7,5,32,1,10,20,1,35,3,29,3,34
venrock_companies.json,250,233,65,96,25,44,35,6,3,12,4,42,10,6,4,0,10,2,8
companies.json,425,424,19,30,39,120,84,43,6,48,8,45,54,18,13,8,45,14,11
